objectid	izena_nombre	longitude	latitude	izena	nombre
6756	Linareseko haitzulo artifiziala 2 / Cueva artificial de Linares 2	-3,09951587399996	42,7972053760001	Linareseko haitzulo artifiziala 2	Cueva artificial de Linares 2
6757	Linareseko haitzulo artifiziala 3 / Cueva artificial de Linares 3	-3,09954033099996	42,7972053550001	Linareseko haitzulo artifiziala 3	Cueva artificial de Linares 3
6758	Linareseko haitzulo artifiziala 4 / Cueva artificial de Linares 4	-3,09954033099996	42,7972053550001	Linareseko haitzulo artifiziala 4	Cueva artificial de Linares 4
6759	Corroko Mairuen haitzulo artifiziala 1 / Cueva artificial de Los Moros de Corro 1	-3,16460165699994	42,873045405	Corroko Mairuen haitzulo artifiziala 1	Cueva artificial de Los Moros de Corro 1
6760	Corroko Mairuen haitzulo artifiziala 2 / Cueva artificial de Los Moros de Corro 2	-3,16450323099997	42,8728654400001	Corroko Mairuen haitzulo artifiziala 2	Cueva artificial de Los Moros de Corro 2
6761	Quejoko Mairuen haitzulo artifiziala / Cueva artificial de Los Moros de Quejo	-3,12701241599996	42,830408043	Quejoko Mairuen haitzulo artifiziala	Cueva artificial de Los Moros de Quejo
6762	Los Moros de Quejo haitzulo artifizialen multzoa / Cueva artificial de Los Moros de Quejo	-3,12701241599996	42,830408043	Los Moros de Quejo haitzulo artifizialen multzoa	Cueva artificial de Los Moros de Quejo
6763	Mellerako haitzulo artifiziala / Cueva artificial de Mellera	-3,09390412599993	42,814140261	Mellerako haitzulo artifiziala	Cueva artificial de Mellera
6764	Mellera haitzulo artifiziala / Cueva artificial de Mellera	-3,09390412599993	42,814140261	Mellera haitzulo artifiziala	Cueva artificial de Mellera
6765	Txarratuko Montico haitzulo artifiziala 1 / Cueva artificial de Montico de Charratu 1	-2,63916083499993	42,6706932130001	Txarratuko Montico haitzulo artifiziala 1	Cueva artificial de Montico de Charratu 1
6766	Txarratuko Montico haitzulo artifiziala 2 / Cueva artificial de Montico de Charratu 2	-2,63907541099997	42,6706929430001	Txarratuko Montico haitzulo artifiziala 2	Cueva artificial de Montico de Charratu 2
