mid	status	title	url
M98260149	ok	File:Gezurrezko bonbardinoa (turuta).jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98260149
M98266122	ok	File:Haurra ziria jotzen.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98266122
M98266442	ok	File:Juan Mari Beltran firringila jotzen.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98266442
M98266967	ok	File:Juan Mari Beltran burruna jotzen.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98266967
M98612824	ok	File:Laute arrunta.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98612824
M98614060	ok	File:Hiru pistoidun tronboia.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98614060
M98614415	ok	File:Soinu txikia edo trikitixa.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98614415
M98615067	ok	File:Periko Garaikoetxea ezpainetakoa jotzen. Iribas, 1980.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98615067
M98615451	ok	File:Hegabera apeua.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98615451
M98615608	ok	File:Patxi Gorrotxategi 1990an Donostian alboka jotzen.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98615608
M98618091	ok	File:Korneta arrunta.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98618091
M98622031	ok	File:Iruñeko Ezpelur taldea. Oiartzun, 2018-05-05.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98622031
M98622177	ok	File:Monttetarrak, 1979.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98622177
M98622690	ok	File:Pierre Caubet txanbela jotzen. Lakarri, 1985.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98622690
M98643924	ok	File:Latazko txulubita.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98643924
M98644245	ok	File:Okarina arrunta.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98644245
M98645016	ok	File:Silbotea.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98645016
M98645132	ok	File:Jean Mixel Bedaxagar xirula eta ttunttuna jotzen. Donostia, 1984.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98645132
M98645744	ok	File:Haur bat txulubita zuloduna jotzen.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98645744
M113202034	ok	File:Okarina (Soinuenea, JMBA Bilduma 983).webm	https://commons.wikimedia.org/wiki/Special:EntityData/M113202034
M113705524	ok	File:Isturitzeko flauta (Soinuenea, JMBA Bilduma 1506).webm	https://commons.wikimedia.org/wiki/Special:EntityData/M113705524
M114678431	ok	File:IZTURITZEKO FLAUTA (Soinuenea JMBA bilduma 1506).webm	https://commons.wikimedia.org/wiki/Special:EntityData/M114678431
M114678446	ok	File:SILBOTEA (Soinuenea JMBA bilduma 1252).webm	https://commons.wikimedia.org/wiki/Special:EntityData/M114678446
M164915932	ok	File:Kaskamelan hotsa.ogg	https://commons.wikimedia.org/wiki/Special:EntityData/M164915932
M164917724	ok	File:Tobera soinua.mp3	https://commons.wikimedia.org/wiki/Special:EntityData/M164917724
M98246637	ok	File:Txalaparta arrunta.tif	https://commons.wikimedia.org/wiki/Special:EntityData/M98246637
M98250043	ok	File:Txaramelak.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98250043
M98252367	ok	File:Txepetxa.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98252367
M98253006	ok	File:Tronpa edo musugitarra.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98253006
M98255378	ok	File:Tulurte edo turuta.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98255378
M98260774	ok	File:Txifloa (Trebiñu).jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98260774
M98261113	ok	File:Txilibitoa.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98261113
M98613829	ok	File:Tuba arrunta.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98613829
M98615540	ok	File:Txilibrinek egindako alboka.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98615540
M98621550	ok	File:Turuta (klarinetea).jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98621550
M98622364	ok	File:Txanbela.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98622364
M98622892	ok	File:Tronpeta-Tutubia.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98622892
M98623108	ok	File:Turuta (oboea).jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98623108
M98645209	ok	File:Txistua bere kutxan.jpg	https://commons.wikimedia.org/wiki/Special:EntityData/M98645209
M114678443	ok	File:TXISTUA (Soinuenea JMBA bilduma 114).webm	https://commons.wikimedia.org/wiki/Special:EntityData/M114678443
M114678444	ok	File:TXISTUA eta DANBOLINA (Soinuenea JMBA bilduma 114-1065).webmhd.webm	https://commons.wikimedia.org/wiki/Special:EntityData/M114678444
M164871948	ok	File:Tronpa edo musugitarra (Soinuenea, JMBA Bilduma 119).webm	https://commons.wikimedia.org/wiki/Special:EntityData/M164871948
M164917485	ok	File:Tutubiaren soinua.ogg	https://commons.wikimedia.org/wiki/Special:EntityData/M164917485
-	error		-
