pageid	qid
586117	Q7564
1040381	Q7565
117785	Q7566
588676	Q7567
576885	Q7568
588585	Q7569
589404	Q7570
585532	Q7571
596433	Q7572
587340	Q7573
152056	Q7574
969223	Q7575
520888	Q7576
584213	Q7577
586156	Q7578
584135	Q7579
585968	Q7580
589408	Q7581
587200	Q7582
587752	Q7583
587471	Q7584
588864	Q7585
480259	Q7586
588722	Q7587
587209	Q7588
588761	Q7589
585465	Q7590
68338	Q7591
588718	Q7592
587411	Q7593
587289	Q7594
1052967	Q7595
586164	Q7596
587196	Q7597
585514	Q7598
588873	Q7599
587117	Q7600
587193	Q7601
1019684	Q7602
21058	Q7603
68523	Q7604
1052400	Q7605
1037010	Q7606
480256	Q7607
336373	Q7608
584219	Q7609
585536	Q7610
588855	Q7611
480261	Q7612
156167	Q7613
585443	Q7614
585574	Q7615
589147	Q7616
94498	Q7617
78799	Q7618
586666	Q7619
584131	Q7620
1048216	Q7621
589285	Q7622
587408	Q7623
127196	Q7624
128028	Q7625
127285	Q7626
587469	Q7627
1030820	Q7628
1048191	Q7629
588861	Q7630
587194	Q7631
586113	Q7632
587205	Q7633
117892	Q7634
587341	Q7635
589289	Q7636
336011	Q7637
45812	Q7638
587933	Q7639
480264	Q7640
119541	Q7641
80233	Q7642
585471	Q7643
60076	Q7644
587287	Q7645
585559	Q7646
587410	Q7647
587250	Q7648
585469	Q7649
589559	Q7650
588714	Q7651
584779	Q7652
1048219	Q7653
589144	Q7654
885648	Q7655
1052765	Q7656
596409	Q7657
587635	Q7658
1037009	Q7659
899625	Q7660
586202	Q7661
589412	Q7662
589457	Q7663
1037008	Q7664
1052381	Q7665
1037007	Q7666
588673	Q7667
1052340	Q7668
1037013	Q7669
480260	Q7670
589334	Q7671
520886	Q7672
520890	Q7673
1048139	Q7674
584139	Q7675
585441	Q7676
585958	Q7677
589388	Q7678
586407	Q7679
589614	Q7680
589400	Q7681
584108	Q7682
1052963	Q7683
589466	Q7684
588570	Q7685
480364	Q7686
589613	Q7687
586118	Q7688
127682	Q7689
585748	Q7690
585462	Q7691
587191	Q7692
92878	Q7693
587468	Q7694
331977	Q7695
190218	Q7696
588876	Q7697
584223	Q7698
164451	Q7699
164375	Q7700
195977	Q7701
238389	Q7702
130243	Q7703
1221786	Q7704
114021	Q7705
100939	Q7706
433301	Q7707
1268915	Q7708
989416	Q7709
18682	Q7710
855435	Q7711
11580	Q7712
1249660	Q7713
1212401	Q7714
994908	Q7715
1062123	Q7716
840752	Q7717
885573	Q7718
1051421	Q7719
647612	Q7720
647647	Q7721
747354	Q7722
655705	Q7723
