author,authorname,gender,affs,argitalpenak,year
https://wikibase.inguma.eus/entity/Q2823,Oihane Kistiñe Arriortua Llarena,female,Euskal Herriko Unibertsitatea,"Fe3O4 nanopartikulen prestakuntza eta karakterizazioa, hipertermia magnetikoan aplikatzeko In vivo"" saiakerak kolon-ondesteko gibel metastasia hipertermia magnetikoaren bitartez tratatzeko",2017
https://wikibase.inguma.eus/entity/Q2824,Borja Herrero de la Parte,male,Euskal Herriko Unibertsitatea,"In vivo"" saiakerak kolon-ondesteko gibel metastasia hipertermia magnetikoaren bitartez tratatzeko",2017
https://wikibase.inguma.eus/entity/Q2827,Isusko Ortuzar Perez,male,Euskal Herriko Unibertsitatea,Faktore genetikoak eta iskiotibialetako lesio muskularrak goi-mailako futbolarietan: asoziazio eta balioztatze ikerketa,2017
https://wikibase.inguma.eus/entity/Q2829,Adrian Odriozola Martinez,male,Euskal Herriko Unibertsitatea,MCT1 genearen T1470A polimorfismoaren eragina metabolismo anaerobikoan oinarritutako kirol jardueran Faktore genetikoak eta iskiotibialetako lesio muskularrak goi-mailako futbolarietan: asoziazio eta balioztatze ikerketa,2017
https://wikibase.inguma.eus/entity/Q2838,Itziar Terradillos Irastorza,female,Euskal Herriko Unibertsitatea BERC - Achucarro,mglu2 eta mGlu3 glutamatoaren hartzaile metabotropikoen kokapena CB1 hartzaile kannabinoidearekiko hipokanpoaren hilusean CB1 hartzaile astrozitikoa mikroskopio elektronikoko prestakinetan detektatzeko markatzaile astroglialak: GFAP vs GLAST CB1 kannbinoideen hartzaile gabeziaren eragina garuntxoko zuntz paraleloetan Ingurune aberastuak nerabezaroan alkoholarekin trataturiko C57BL6J saguen iraupen luzeko CB 1 hartzailearen mendeko plastikotasuna berreskuratzen du. -Paradigma honen azpian ezkutatzen diren mekanismo zelularren bila- TRPV1-KO saguek epilepsia krisi arinagoak jasatearen zergatiak bilatzen CB1 eta CB2 hartzaile kannabinoideen kokapen gliala alzheimer gaixotasunaren sagu-eredu batean Nerabezaroko gehiegizko alkohol kontsumoaren kalte iraunkorrak C57BL/6J sagu eme helduetan Omega-3 gantz-azidoen propietate onuragarriak,2017
https://wikibase.inguma.eus/entity/Q2839,Eneritz Gomez Lazaro,female,Euskal Herriko Unibertsitatea,Venlafaxinaren eragina ezegonkortasun sozial kronikoa jasandako sagu emeen sistema serotoninergiko zentralean eta jokabidean Benlafaxinaren eragina ezegonkortasun sozial kronikoa jasandako sagu emeen sistema serotoninergiko zentralean eta jokabidean,2017
https://wikibase.inguma.eus/entity/Q2841,Oscar Vegas Moreno,male,Euskal Herriko Unibertsitatea,"Ingurumen zaratak eraginik al du 11 urteko umeen loaren kalitatean? Hantura periferikoa depresio eta antsietate sintomekin batera bularreko minbizia gainditutako emakumeetan Tumoreak, estres sozialak eta estresari aurre egiteko estrategiek jokabide depresiboan eta garunaren aktibitatean duten eragina Depresio- eta antsietate-sintomen eta hanturaren arteko erlazioa bularreko minbizia gainditutako emakumeetan Tumoreek, estres sozialak eta estresari aurre egiteko estrategiek jokabide depresiboan eta garunaren aktitibatean duten eragina",2017
https://wikibase.inguma.eus/entity/Q2169,Haritz Azurmendi Arrue,male,Udako Euskal Unibertsitatea Euskal Herriko Unibertsitatea,"Joxe Azurmendiren abertzaletasun kulturala Joxe Azurmendiren nazioa Nazionalismo Ikerketen argitan. Abertzaletasun kulturalaren defentsa Euskal Herri garaikidean Naziogintzaren ataka berria. Estaturik gabeko naziogintza eta naziorik gabeko estatugintza Azurmendiren ikertzaile baten bakeak eta gerrak Azurmendi, Joxe: Beltzak, Juduak eta beste euskaldun batzuk Historiaren kontzeptua nazionaren paradigma modernoan. Gellner eta Hobsbawmen kasuak Euskal pentsamenduaren garabideak",2017
https://wikibase.inguma.eus/entity/Q2171,Jonatan Rubio Martinez de Treviño,male,Euskal Herriko Unibertsitatea,Historiaurreko nabigazio metodoak Ozeano Atlantikoan,2017
https://wikibase.inguma.eus/entity/Q2172,Alaitz Santos Berrondo,female,Euskal Herriko Unibertsitatea,Genero trataeraren azterketa natura zientzien alorreko testuliburu eta ikasgaietan Komunikazio-antsietatea euskara bigarren hizkuntza dutenengan UPV/EHUko Gizarte Zientzietako masterretako gaitasunen azterketa,2017
https://wikibase.inguma.eus/entity/Q2179,Eneko Oiartzabal Gerriko,male,Udako Euskal Unibertsitatea,Zenbat denboraz bizi ote gara euskaraz?,2017
https://wikibase.inguma.eus/entity/Q2157,Oxel Azkarate Iturbe,male,Udako Euskal Unibertsitatea Mondragon Unibertsitatea,"Ikasleen talentua sustatzeko gida: Batxilergorako, Lanbide Heziketarako eta unibertsitaterako hainbat aukera KOOPHEZI-L: Pertsona kooperatiboaren profila langileetan neurtzeko eskala Pertsona kooperatiboa profila ikasle gazteetan neurtzeko KOOPHEZ-i tresnaren sorkuntza eta balioztatzea Hezikoop: hezkuntza eredu kooperatibo bat eraikitzen Pertsona kooperatiboaren profilaren neurketa hezkuntza eta jendarte eraldaketa testuinguruan Pertsona Kooperatiboaren Eskalaren garapena eta baliozkotzea: bertsio laburra (Koophezi-i-S) Tokiko hezkuntza-komunitateak saretzeko zenbait gako: prozesu eraikitzaileak",2017
https://wikibase.inguma.eus/entity/Q2696,Denis Benito Fernandez,male,Euskal Herriko Unibertsitatea,Erantzun Modulagarriak Cd Estresaren Pean Magurio Arruntean (Littorina littorea) Itsasaldiak eta urte-sasoiak oskol-dimentsioen eta oskol-dentsitatearen moldapena dakar Mytilus galloprovincialis muskuiluan Zelula eta ehun mailako biomarkatzaile bateriaren aplikazioa latitude Artiko eta Subartikoetako muskuiluetan (Mytilus sp.): faktore nahasgarrien eta biomarkatzaileen oinarri balioen eta erantzun gaitasunaren identifikazioa ingurumen osasun egoeraren,2017
https://wikibase.inguma.eus/entity/Q2699,Julen Diaz Ramirez,male,Euskal Herriko Unibertsitatea,MCT1 genearen T1470A polimorfismoaren eragina metabolismo anaerobikoan oinarritutako kirol jardueran,2017
https://wikibase.inguma.eus/entity/Q2700,Fancisco Javier Palacios Gambra,male,Euskal Herriko Unibertsitatea,"Aktibitate antiproliferatiboa duten konposatu heterozikliko fosforodunen prestaketa: I topoisomerasaren inhibitzaile berrien diseinua, sintesia eta ebaluazio biologikoa Minbiziaren aurkako jomuga garrantzitsua: I Topoisomerasa Kanptotezina eta haren deribatuak minbiziaren aurkako borrokan: Topoisomerasa I inhibitzaileak",2017
https://wikibase.inguma.eus/entity/Q2701,Gloria Rubiales Alcaine,female,Euskal Herriko Unibertsitatea,"Aktibitate antiproliferatiboa duten konposatu heterozikliko fosforodunen prestaketa: I topoisomerasaren inhibitzaile berrien diseinua, sintesia eta ebaluazio biologikoa Minbiziaren aurkako jomuga garrantzitsua: I Topoisomerasa",2017
https://wikibase.inguma.eus/entity/Q2702,Concepción Estibaliz Alonso Perez,female,Euskal Herriko Unibertsitatea,"Aktibitate antiproliferatiboa duten konposatu heterozikliko fosforodunen prestaketa: I topoisomerasaren inhibitzaile berrien diseinua, sintesia eta ebaluazio biologikoa Minbiziaren aurkako jomuga garrantzitsua: I Topoisomerasa Kanptotezina eta haren deribatuak minbiziaren aurkako borrokan: Topoisomerasa I inhibitzaileak",2017
https://wikibase.inguma.eus/entity/Q2703,Endika Martin Encinas,male,Euskal Herriko Unibertsitatea,Minbiziaren aurkako jomuga garrantzitsua: I Topoisomerasa,2017
https://wikibase.inguma.eus/entity/Q2716,Yao Zhang,male,Euskal Herriko Unibertsitatea BERC - MPC,Argiaren lokalizazio azpinanometrikoa eta elektroien energia-galera metalezko nanopartikuletan: deskribapen klasikoa vs kuantikoa,2017
https://wikibase.inguma.eus/entity/Q2718,Maider Escurza Zubiaur,female,Euskal Herriko Unibertsitatea,Laguntzadun enpleguaren bidez autismo espektroaren nahastea duten pertsonen laneratzea enplegu ordinarioan. Hiru esperientzien azterketa,2017
https://wikibase.inguma.eus/entity/Q2720,Mattin Urbieta Galarraga,male,Euskal Herriko Unibertsitatea,Argiaren lokalizazio azpinanometrikoa eta elektroien energia-galera metalezko nanopartikuletan: deskribapen klasikoa vs kuantikoa Elektroiekin dantzan nanoeskala argitzeko,2017
